City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
airai,TL,60.39,88,100,1.68,-8.9266,125.4092,1673721221
mataura,NZ,54.32,84,7,1.54,-46.1927,168.8643,1673721221
dikson,RU,-34.76,93,16,3.87,73.5069,80.5464,1673721221
luderitz,NA,68.58,67,0,23.17,-26.6481,15.1594,1673721221
mount gambier,AU,59.23,65,100,13.18,-37.8333,140.7667,1673721131
bambous virieux,MU,79.05,78,40,10.36,-20.3428,57.7575,1673721222
maragogi,BR,81.82,67,98,10.98,-9.0122,-35.2225,1673721222
portland,US,50.58,91,75,11.5,45.5234,-122.6762,1673721151
mangai,CD,71.83,83,100,3.18,-4.05,19.5333,1673721222
kavieng,PG,81.86,77,87,10.04,-2.5744,150.7967,1673721222
tiszasuly,HU,40.01,88,20,2.98,47.3833,20.4,1673721223
tuktoyaktuk,CA,-11.2,84,20,6.91,69.4541,-133.0374,1673721223
leningradskiy,RU,-23.73,100,82,3.29,69.3833,178.4167,1673721223
manokwari,ID,77.88,83,91,3.89,-0.8667,134.0833,1673721223
jamestown,US,25.02,91,100,9.22,42.097,-79.2353,1673721162
avarua,CK,75.25,73,100,3.44,-21.2078,-159.775,1673721224
albany,US,29.05,75,59,1.01,42.6001,-73.9662,1673721013
asahikawa,JP,16.93,85,100,4.9,43.7678,142.3703,1673721224
yozgat,TR,33.57,53,64,2.06,39.5833,35.3333,1673721225
ushuaia,AR,51.46,54,75,8.05,-54.8,-68.3,1673721225
borba,BR,73.36,98,100,1.32,-4.3878,-59.5939,1673721225
mastung,PK,28.89,39,0,4.52,29.7994,66.845,1673721225
tourlaville,FR,48.72,81,75,18.41,49.6383,-1.5664,1673721226
fairbanks,US,-12.91,76,0,0.0,64.8378,-147.7164,1673721226
punta arenas,CL,51.91,58,75,21.85,-53.15,-70.9167,1673721226
carnarvon,AU,75.58,79,5,21.74,-24.8667,113.6333,1673721227
marsh harbour,BS,61.09,58,77,32.44,26.5412,-77.0636,1673721227
sao joao da barra,BR,86.09,85,28,18.52,-21.6403,-41.0511,1673721227
shingu,JP,55.22,90,45,6.44,33.7333,135.9833,1673721228
sinnamary,GF,77.36,86,100,9.82,5.3833,-52.95,1673721228
langxiang,CN,-19.08,98,5,2.75,46.95,128.8833,1673721228
ponta do sol,PT,65.03,73,64,1.52,32.6667,-17.1,1673721228
araouane,ML,71.96,13,44,9.98,18.9048,-3.5265,1673721229
kapaa,US,66.18,72,0,10.36,22.0752,-159.319,1673721229
tiksi,RU,-32.8,95,100,2.82,71.6872,128.8694,1673721229
nhulunbuy,AU,79.41,94,100,6.91,-12.2333,136.7667,1673721229
vaini,TO,77.16,100,20,0.0,-21.2,-175.2,1673721230
hun,LY,55.04,65,12,7.78,29.1268,15.9477,1673721230
rikitea,PF,77.99,74,52,14.52,-23.1203,-134.9692,1673721230
ahipara,NZ,60.84,89,6,4.92,-35.1667,173.1667,1673721230
atakpame,TG,81.23,18,42,1.43,7.5333,1.1333,1673721231
chuy,UY,79.47,35,0,12.24,-33.6971,-53.4616,1673721231
quelimane,MZ,84.15,70,75,6.91,-17.8786,36.8883,1673721231
cape town,ZA,69.12,67,0,25.32,-33.9258,18.4232,1673721078
petropavlovsk-kamchatskiy,RU,16.39,67,75,24.61,53.0452,158.6483,1673721099
qaanaaq,GL,4.03,67,100,8.19,77.484,-69.3632,1673721232
bubaque,GW,78.08,61,10,12.68,11.2833,-15.8333,1673721232
olafsvik,IS,24.31,63,11,17.6,64.8945,-23.7142,1673721233
lahad datu,MY,74.44,93,52,2.84,5.0268,118.327,1673721233
bratsk,RU,1.89,96,100,5.35,56.1325,101.6142,1673721088
iqaluit,CA,-0.67,71,100,13.8,63.7506,-68.5145,1673721015
saint-philippe,RE,78.39,78,37,9.82,-21.3585,55.7679,1673721233
dongsheng,CN,3.54,42,0,15.32,39.8161,109.9776,1673721234
grand gaube,MU,79.2,69,99,5.01,-20.0064,57.6608,1673721234
arraial do cabo,BR,87.76,70,0,21.85,-22.9661,-42.0278,1673721234
cherskiy,RU,-33.52,97,100,1.45,68.75,161.3,1673721197
bredasdorp,ZA,67.39,70,76,8.66,-34.5322,20.0403,1673721235
bandarbeyla,SO,76.26,75,47,18.39,9.4942,50.8122,1673721235
esperance,AU,55.72,76,5,10.63,-33.8667,121.9,1673721235
mitsamiouli,KM,82.02,69,81,2.44,-11.3847,43.2844,1673721236
paulista,BR,84.06,68,94,11.77,-7.9408,-34.8731,1673721236
magalia,US,46.31,98,100,11.32,39.8121,-121.5783,1673721236
hobyo,SO,77.63,75,5,18.84,5.3505,48.5268,1673721236
atar,MR,78.85,14,0,11.5,20.5169,-13.0499,1673721236
taguatinga,BR,84.22,62,100,2.51,-12.3857,-46.5711,1673721101
victoria,HK,69.33,94,1,4.0,22.2855,114.1577,1673721237
tamandare,BR,81.93,67,95,10.56,-8.7597,-35.1047,1673721237
lompoc,US,58.78,95,100,12.66,34.6391,-120.4579,1673721120
port alfred,ZA,71.19,86,100,6.46,-33.5906,26.891,1673721238
tsumeb,NA,73.67,45,92,14.07,-19.2333,17.7167,1673721238
am timan,TD,79.14,17,14,3.44,11.0297,20.2827,1673721238
chokurdakh,RU,-32.93,98,100,3.33,70.6333,147.9167,1673721238
coromandel,BR,78.31,66,100,3.78,-18.4733,-47.2003,1673721010
xichang,CN,42.44,77,84,3.06,27.8964,102.2634,1673721239
asfi,MA,60.26,83,0,13.96,32.2994,-9.2372,1673721239
busselton,AU,56.07,69,2,13.42,-33.65,115.3333,1673721240
atuona,PF,77.59,77,32,10.45,-9.8,-139.0333,1673721240
eskil,TR,38.73,56,45,4.16,38.4017,33.4131,1673721240
muhos,FI,31.89,99,100,1.54,64.808,25.9931,1673721240
sao gabriel da cachoeira,BR,85.8,70,20,3.44,-0.1303,-67.0892,1673721241
butaritari,KI,79.66,81,87,13.51,3.0707,172.7902,1673721241
cayenne,GF,77.04,88,75,3.44,4.9333,-52.3333,1673721007
vestmannaeyjar,IS,23.99,80,20,5.75,63.4427,-20.2734,1673721242
hermanus,ZA,69.8,74,58,13.76,-34.4187,19.2345,1673721242
port blair,IN,73.44,78,20,0.0,11.6667,92.75,1673721242
mar del plata,AR,78.84,68,0,11.5,-38.0023,-57.5575,1673721243
zhengjiatun,CN,2.16,29,0,1.1,43.5064,123.5064,1673721243
cine,TR,51.21,89,100,1.28,37.6117,28.0614,1673721244
zapolyarnyy,RU,25.88,98,90,8.12,69.4154,30.8136,1673721244
karratha,AU,81.93,79,74,13.91,-20.7377,116.8463,1673721245
