City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
airai,TL,-8.9266,60.39,88,100,1.68,1673721221
mataura,NZ,-46.1927,54.32,84,7,1.54,1673721221
dikson,RU,73.5069,-34.76,93,16,3.87,1673721221
luderitz,NA,-26.6481,68.58,67,0,23.17,1673721221
mount gambier,AU,-37.8333,59.23,65,100,13.18,1673721131
bambous virieux,MU,-20.3428,79.05,78,40,10.36,1673721222
maragogi,BR,-9.0122,81.82,67,98,10.98,1673721222
portland,US,45.5234,50.58,91,75,11.5,1673721151
mangai,CD,-4.05,71.83,83,100,3.18,1673721222
kavieng,PG,-2.5744,81.86,77,87,10.04,1673721222
tiszasuly,HU,47.3833,40.01,88,20,2.98,1673721223
tuktoyaktuk,CA,69.4541,-11.2,84,20,6.91,1673721223
leningradskiy,RU,69.3833,-23.73,100,82,3.29,1673721223
manokwari,ID,-0.8667,77.88,83,91,3.89,1673721223
jamestown,US,42.097,25.02,91,100,9.22,1673721162
avarua,CK,-21.2078,75.25,73,100,3.44,1673721224
albany,US,42.6001,29.05,75,59,1.01,1673721013
asahikawa,JP,43.7678,16.93,85,100,4.9,1673721224
yozgat,TR,39.5833,33.57,53,64,2.06,1673721225
ushuaia,AR,-54.8,51.46,54,75,8.05,1673721225
borba,BR,-4.3878,73.36,98,100,1.32,1673721225
mastung,PK,29.7994,28.89,39,0,4.52,1673721225
tourlaville,FR,49.6383,48.72,81,75,18.41,1673721226
fairbanks,US,64.8378,-12.91,76,0,0.0,1673721226
punta arenas,CL,-53.15,51.91,58,75,21.85,1673721226
carnarvon,AU,-24.8667,75.58,79,5,21.74,1673721227
marsh harbour,BS,26.5412,61.09,58,77,32.44,1673721227
sao joao da barra,BR,-21.6403,86.09,85,28,18.52,1673721227
shingu,JP,33.7333,55.22,90,45,6.44,1673721228
sinnamary,GF,5.3833,77.36,86,100,9.82,1673721228
langxiang,CN,46.95,-19.08,98,5,2.75,1673721228
ponta do sol,PT,32.6667,65.03,73,64,1.52,1673721228
araouane,ML,18.9048,71.96,13,44,9.98,1673721229
kapaa,US,22.0752,66.18,72,0,10.36,1673721229
tiksi,RU,71.6872,-32.8,95,100,2.82,1673721229
nhulunbuy,AU,-12.2333,79.41,94,100,6.91,1673721229
vaini,TO,-21.2,77.16,100,20,0.0,1673721230
hun,LY,29.1268,55.04,65,12,7.78,1673721230
rikitea,PF,-23.1203,77.99,74,52,14.52,1673721230
ahipara,NZ,-35.1667,60.84,89,6,4.92,1673721230
atakpame,TG,7.5333,81.23,18,42,1.43,1673721231
chuy,UY,-33.6971,79.47,35,0,12.24,1673721231
quelimane,MZ,-17.8786,84.15,70,75,6.91,1673721231
cape town,ZA,-33.9258,69.12,67,0,25.32,1673721078
petropavlovsk-kamchatskiy,RU,53.0452,16.39,67,75,24.61,1673721099
qaanaaq,GL,77.484,4.03,67,100,8.19,1673721232
bubaque,GW,11.2833,78.08,61,10,12.68,1673721232
olafsvik,IS,64.8945,24.31,63,11,17.6,1673721233
lahad datu,MY,5.0268,74.44,93,52,2.84,1673721233
bratsk,RU,56.1325,1.89,96,100,5.35,1673721088
iqaluit,CA,63.7506,-0.67,71,100,13.8,1673721015
saint-philippe,RE,-21.3585,78.39,78,37,9.82,1673721233
dongsheng,CN,39.8161,3.54,42,0,15.32,1673721234
grand gaube,MU,-20.0064,79.2,69,99,5.01,1673721234
arraial do cabo,BR,-22.9661,87.76,70,0,21.85,1673721234
cherskiy,RU,68.75,-33.52,97,100,1.45,1673721197
bredasdorp,ZA,-34.5322,67.39,70,76,8.66,1673721235
bandarbeyla,SO,9.4942,76.26,75,47,18.39,1673721235
esperance,AU,-33.8667,55.72,76,5,10.63,1673721235
mitsamiouli,KM,-11.3847,82.02,69,81,2.44,1673721236
paulista,BR,-7.9408,84.06,68,94,11.77,1673721236
magalia,US,39.8121,46.31,98,100,11.32,1673721236
hobyo,SO,5.3505,77.63,75,5,18.84,1673721236
atar,MR,20.5169,78.85,14,0,11.5,1673721236
taguatinga,BR,-12.3857,84.22,62,100,2.51,1673721101
victoria,HK,22.2855,69.33,94,1,4.0,1673721237
tamandare,BR,-8.7597,81.93,67,95,10.56,1673721237
lompoc,US,34.6391,58.78,95,100,12.66,1673721120
port alfred,ZA,-33.5906,71.19,86,100,6.46,1673721238
tsumeb,NA,-19.2333,73.67,45,92,14.07,1673721238
am timan,TD,11.0297,79.14,17,14,3.44,1673721238
chokurdakh,RU,70.6333,-32.93,98,100,3.33,1673721238
coromandel,BR,-18.4733,78.31,66,100,3.78,1673721010
xichang,CN,27.8964,42.44,77,84,3.06,1673721239
asfi,MA,32.2994,60.26,83,0,13.96,1673721239
busselton,AU,-33.65,56.07,69,2,13.42,1673721240
atuona,PF,-9.8,77.59,77,32,10.45,1673721240
eskil,TR,38.4017,38.73,56,45,4.16,1673721240
muhos,FI,64.808,31.89,99,100,1.54,1673721240
sao gabriel da cachoeira,BR,-0.1303,85.8,70,20,3.44,1673721241
butaritari,KI,3.0707,79.66,81,87,13.51,1673721241
cayenne,GF,4.9333,77.04,88,75,3.44,1673721007
vestmannaeyjar,IS,63.4427,23.99,80,20,5.75,1673721242
hermanus,ZA,-34.4187,69.8,74,58,13.76,1673721242
port blair,IN,11.6667,73.44,78,20,0.0,1673721242
mar del plata,AR,-38.0023,78.84,68,0,11.5,1673721243
zhengjiatun,CN,43.5064,2.16,29,0,1.1,1673721243
cine,TR,37.6117,51.21,89,100,1.28,1673721244
zapolyarnyy,RU,69.4154,25.88,98,90,8.12,1673721244
karratha,AU,-20.7377,81.93,79,74,13.91,1673721245
puerto ayora,EC,-0.7393,82.36,87,52,5.01,1673721080
khatanga,RU,71.9667,-40.45,97,100,2.91,1673721245
ribeira grande,PT,38.5167,55.8,62,40,17.0,1673721245
norman wells,CA,65.282,-11.16,77,100,0.0,1673721246
creston,US,41.0586,39.7,69,0,19.57,1673721246
lavrentiya,RU,65.5833,-6.18,90,72,10.4,1673721246
bilma,NE,18.6853,65.07,24,87,8.75,1673721247
port hardy,CA,50.6996,44.78,100,75,5.75,1673721247
batouri,CM,4.4333,78.94,22,5,2.13,1673721248
avila,ES,40.5833,43.7,92,100,5.26,1673721248
payakumbuh,ID,-0.2202,69.4,97,100,3.15,1673721249
keetmanshoop,NA,-26.5833,91.36,9,0,12.95,1673721249
hobart,AU,-42.8794,67.26,81,7,6.91,1673721250
port-gentil,GA,-0.7193,75.16,100,75,9.22,1673721250
east london,ZA,-33.0153,72.54,88,100,3.44,1673721250
port elizabeth,ZA,-33.918,70.32,93,75,6.91,1673721251
oranjemund,NA,-28.55,62.73,88,1,19.46,1673721251
torbay,CA,47.6666,54.37,88,100,23.02,1673721035
georgetown,MY,5.4112,80.53,93,20,2.3,1673721083
kaitangata,NZ,-46.2817,53.74,89,13,1.77,1673721252
fez,MA,34.0372,52.05,66,0,1.14,1673721252
castro,BR,-24.7911,72.57,86,89,5.12,1673721252
guerrero negro,MX,27.9769,66.92,50,99,10.2,1673721253
hilo,US,19.7297,86.29,72,100,6.91,1673721253
katsuura,JP,35.1333,56.52,85,95,21.83,1673721254
sidi ali,DZ,36.0998,53.71,66,0,2.24,1673721254
raudeberg,NO,61.9875,32.67,73,100,11.99,1673721255
mpraeso,GH,6.5932,78.08,27,1,3.44,1673721255
pingshan,CN,22.9938,66.9,90,11,6.4,1673721255
la suiza,CR,9.8524,67.59,97,100,1.41,1673721256
